Year,Grade_Level,Assessment,Program,Board,Sex,Adaptation,IPP,Exemption,Eligible,Math_Score,Math_Level
2017-18,6,M,English,HRSB,F,,,,Yes,277.25,Level 1
2017-18,6,M,English,CCRSB,F,,,,Yes,485.31,Level 3
2017-18,6,M,English,CBVRSB,F,,,,Yes,402.82,Level 2
2017-18,6,M,French Imm,AVRSB,F,Yes,,,Yes,442.52,Level 2
2017-18,6,M,English,CBVRSB,F,,,,Yes,479.08,Level 3
2017-18,6,M,English,HRSB,F,,,,Yes,484.01,Level 3
2017-18,6,M,English,HRSB,M,,,,Yes,537.74,Level 3
2017-18,6,M,English,HRSB,F,,,,Yes,741.13,Level 4
2017-18,6,M,English,SRSB,M,,,,Yes,551.5,Level 3
2017-18,6,M,English,TCRSB,M,,,,Yes,631.91,Level 4
2017-18,6,M,English,CCRSB,F,,,,Yes,477.26,Level 3
